graceid,ifos,end_time,end_time_ns,mass,mchirp,minimum_duration,snr,far,ifar,log_ifar
G334770,"H1,L1,V1",1243351804.0,127929688.0,33.274879455566,4.2748646736145,38.332923264202,6.6351284980774,8.4655795944855e-05,11812.540285503932,9.376916982209211
G336721,"H1,L1",1245067732.0,123046875.0,26.564435958862,4.8184418678284,37.591095116334,8.4256134033203,6.1373284552246e-05,16293.73443666222,9.698535922509109
G349656,"H1,L1",1251728298.0,630859375.0,30.114534378052,4.3685960769653,37.019715603356,13.020266532898,7.2540235123597e-05,13785.452973734637,9.531369182818976
G349986,"H1,L1",1252099617.0,377929687.0,31.915988922119,10.828406333923,10.294927221222,8.6796627044678,0.0001071492297342,9332.778242836206,9.14128802473875
G333675,"H1,L1",1242459857.0,642089844.0,90.179306030273,37.802806854248,1.0868215125234,24.192760467529,9.943797521505499e-12,100565201356.65424,25.3340721238034
G91374,"H1,V1",1076984760.0,237005054.0,3.1134829521179,1.3176019191742,28.762994946,9.6951299524485,0.0003166890939827,3157.671100775165,8.057590041442213
G335686,"H1,L1",1244072294.0,726562500.0,73.254722595215,15.973161697388,4.922561400468,7.0646648406982,0.0002833128382917,3529.667084730624,8.168958835205238
G346606,"H1,L1",1249281734.0,987792969.0,38.594596862793,9.3180513381958,12.67992791183,11.731843948364,5.1803308451781e-05,19303.786377482225,9.86805654101292
G347944,"H1,L1",1250540947.0,876464844.0,17.494783401489,5.7936315536499,29.672552415573,7.9241414070129,6.0277292504907e-05,16589.99531073153,9.716555100528122
G363425,"H1,L1",1265252653.0,61523438.0,7.8825674057007,3.3224937915802,72.764316394801,8.392731115194,0.000126007667859,7936.024981577666,8.979167796840004
G350200,"H1,L1",1252287730.0,857910156.0,45.231666564941,9.7747783660889,8.799718489445,7.7493224143982,0.0001046671386575,9554.097043504662,9.164725351267451
G334497,"H1,L1,V1",1243147806.0,447265625.0,3.9071714878082,1.5129190683365,240.57922569615,11.162997245789,2.69380939244e-06,371221.5135957409,12.824554235099823
G185172,"H1,L1",1126580947.0,188142344.0,6.4768266677856,1.9091844558716,44.811857700348,7.9168626184537,9.7849631537379e-05,10219.76255084819,9.232078629715597
G355230,"H1,L1,V1",1258397613.0,807128906.0,3.9972567558289,1.7313828468323,194.40228887637,9.4337587356567,0.0001296090049436,7715.513288871583,8.950988293870164
G203575,L1H1,1132535597.0,791015625.0,7.6478657722473,2.2886197566986,21.22582770929,14.138383865357,5.9598434745567e-05,16778.964150134514,9.72788124689611
G361927,"H1,L1",1264589456.0,609375000.0,3.2588803768158,1.3344193696976,298.03938431126,7.9361966920026,0.0002898245002143,3450.3639245838517,8.146234989848837
G364873,"H1,L1",1266299807.0,405273438.0,16.360868453979,3.2391705513,71.958228065303,8.047816424285,0.0002685599029064,3723.564050991079,8.222436566826593
G344778,"H1,L1",1247758273.0,10742188.0,30.453327178955,6.5453977584839,24.385822073974,8.9129295349121,0.0001175410798168,8507.663887025783,9.048722670018584
G346275,"H1,L1",1248969571.0,421875000.0,3.2648084163666,1.3280030488968,301.75919699181,6.5813488960266,0.0001864510995801,5363.3365652001885,8.587341553903629
G358609,"H1,L1",1261506942.0,528320312.0,15.165062904358,5.0981221199036,33.070313862203,7.5446610326314,0.0001591740438016,6282.431331871995,8.745512339293866
G338158,"H1,L1",1246711928.0,111328125.0,3.9580392837524,1.6163127422333,213.79420673144,7.8882441520691,0.0002497225359547,4004.4443573208014,8.295160112629318
